Date,Forecasted_Sales,Lower_CI,Upper_CI
937,133.359301630525,21.3172119349435,245.40139132610653
938,135.91371168695238,2.584503047749763,269.242920326155
939,190.62345897284098,49.28789143778914,331.9590265078928
940,147.3052373452333,2.6738263949802104,291.9366482954864
941,161.45726650817696,15.398913531665016,307.5156194846889
942,242.38174320315153,95.6754887439408,389.0879976623622
943,179.76763439483355,32.74991493182526,326.78535385784187
944,132.3788858457709,-15.4770514398204,280.2348231313622
945,135.81335139499555,-12.441597081662223,284.0682998716533
946,192.02316294416383,43.56454820439171,340.48177768393595
947,148.55747573218895,-0.01431787634382431,297.12926934072175
948,162.9707432305196,14.329680437830802,311.6118060232084
949,243.3387134806053,94.65078532489719,392.0266416363134
950,181.16855882766583,32.4457786755905,329.89133897974114
951,133.89525354481503,-15.192975828751287,282.98348291838136
952,137.39636106242972,-11.882757954663049,286.67548007952246
953,193.6605338087366,44.27241956460119,343.048648052872
954,150.2156033406105,0.7588044631289961,299.672402218092
955,164.64659746094753,15.141985262885385,314.1512096590097
956,245.01675842726442,95.47567892870754,394.55783792582133
957,182.85807936489456,33.2869705854979,332.42918814429123
958,135.58997993705444,-14.337162930195063,285.51712280430394
959,139.094320801302,-11.021861551424678,289.21050315402863
960,195.36070606602294,45.13452820460006,345.5868839274458
961,151.91701173226892,1.6201289488688815,302.2138945156689
962,166.34885116690592,16.001808143032747,316.6958941907791
963,246.71943651012987,96.3335027412268,397.10537027903297
964,184.5611553458902,34.14277379158426,334.97953690019614
965,137.29328312502275,-13.488303842144916,288.0748700921904
966,140.7977678561529,-10.178687040301384,291.77422275260716
